id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1396799172460883974,1396799172460883974,2021-05-24 12:04:08 UTC,2021-05-24,12:04:08,+0000,1052385486591971328,sccpdados,SCCP Dados 📊,,"Sylvinho (Novo técnico do @Corinthians ) Seu único trabalho no Lyon: ⚔️ 11 jogos ✅ 3 vitórias ↔️ 4 empates ❌ 4 derrotas 📊 39,40% de aproveitamento 👟 7,8 fin p/ marcar ⚠️ 14,7 fin p/ sofrer gol 📈 53,18% de posse de bola em média  #meutimão #Corinthians #Sylvinho  https://t.co/EOS0SfuVNM",pt,"[{'screen_name': 'corinthians', 'name': 'corinthians', 'id': '44627459'}]",[],['https://pbs.twimg.com/media/E2JtcZoWYAM3wXS.jpg'],0,0,0,"['meutimão', 'corinthians', 'sylvinho']",[],https://twitter.com/sccpdados/status/1396799172460883974,False,,1,https://pbs.twimg.com/media/E2JtcZoWYAM3wXS.jpg,,,,,,,[],,,,
1396798457256480771,1396798457256480771,2021-05-24 12:01:18 UTC,2021-05-24,12:01:18,+0000,3046592607,garotinhosfc,Garotinhos F.C.,,"#FechadocomoTimão - O Corinthians anunciou neste domingo a contratação de Sylvinho, de 47 anos, Ex-Lyon, chega para um contrato até o fim de 2022. . #Corinthians #Timao #Alvinegro #Arena #Sylvinho #futebol #radio #internet #youtube #resenha #soccer #Lyon #Timedopovo #Mano #ENois  https://t.co/sbXsSltTyE",pt,[],[],['https://pbs.twimg.com/media/E2Jsy1YWYAQ33xE.jpg'],0,1,1,"['fechadocomotimão', 'corinthians', 'timao', 'alvinegro', 'arena', 'sylvinho', 'futebol', 'radio', 'internet', 'youtube', 'resenha', 'soccer', 'lyon', 'timedopovo', 'mano', 'enois']",[],https://twitter.com/garotinhosfc/status/1396798457256480771,False,,1,https://pbs.twimg.com/media/E2Jsy1YWYAQ33xE.jpg,,,,,,,[],,,,
1396797054643544066,1396797054643544066,2021-05-24 11:55:43 UTC,2021-05-24,11:55:43,+0000,131885419,fhahuvia,Fernando H. Ahuvia,,Notamos que estamos ficando velhos quando um dos seus ídolos de infância do #Corinthians volta ao clube para ser treinador (foi por causa do #Sylvinho que tentei ser lateral esquerdo jogando no clube quando era uma criança magra)  https://t.co/iwuOEPI9az,pt,[],[],['https://pbs.twimg.com/media/E2JrZATWEAImGbK.jpg'],0,1,4,"['corinthians', 'sylvinho']",[],https://twitter.com/fhahuvia/status/1396797054643544066,False,,1,https://pbs.twimg.com/media/E2JrZATWEAImGbK.jpg,,,,,,,[],,,,
1396796344585625600,1396796344585625600,2021-05-24 11:52:54 UTC,2021-05-24,11:52:54,+0000,302950011,loucosdobando_,Loucos do Bando,,"Fagner já está de volta ao CT Dr. Joaquim Grava! Após ser contaminado, novamente, pelo vírus da Covid-19, o lateral retorna aos treinamentos depois de 10 dias longe do clube.  #Corinthians #VaiCorinthians  https://t.co/rXlPSAQ19P",pt,[],[],['https://pbs.twimg.com/media/E2JqzVJXIAACijU.jpg'],1,3,20,"['corinthians', 'vaicorinthians']",[],https://twitter.com/loucosdobando_/status/1396796344585625600,False,,1,https://pbs.twimg.com/media/E2JqzVJXIAACijU.jpg,,,,,,,[],,,,
1396794084518465536,1396751756961456129,2021-05-24 11:43:55 UTC,2021-05-24,11:43:55,+0000,263919481,colwellnsno,andrew colwell,,@PictureSporting @MikeJ_A #Corinthians,und,[],[],[],0,0,0,['corinthians'],[],https://twitter.com/colwellNSNO/status/1396794084518465536,False,,0,,,,,,,,"[{'screen_name': 'PictureSporting', 'name': 'Historic Cricket Pictures', 'id': '906053660467191808'}, {'screen_name': 'MikeJ_A', 'name': 'Mike Andrews', 'id': '305032991'}]",,,,
1396792548207759361,1396792548207759361,2021-05-24 11:37:49 UTC,2021-05-24,11:37:49,+0000,1576942832,cristianosgt1,Cristiano Borges,,16. Este é o número cabalístico do #Corinthians no #brasileirao2021  A posição para o Timão ficar no próximo campeonato é a 16ª colocação.. #timao  #timãomilgrau  #MeuTimao,pt,[],[],[],0,0,0,"['corinthians', 'brasileirao2021', 'timao', 'timãomilgrau', 'meutimao']",[],https://twitter.com/Cristianosgt1/status/1396792548207759361,False,,0,,,,,,,,[],,,,
1396792233852997633,1396792233852997633,2021-05-24 11:36:34 UTC,2021-05-24,11:36:34,+0000,1317190376613031937,emundial3,【公式】ECムンディアル★2020年以降★,,#ブラジルリーグ の人気クラブ #コリンチャンス のトレーニングアイテムにポロシャツが新入荷！  #corinthians #ガヴィオンス #ブラジル代表 #サッカーウェア #南米サッカー #コリンチアーノ #フットサルウェア #サッカーセール #polo   https://t.co/0zAEl4m9k7  https://t.co/9V112nOsBR  https://t.co/NYn3T9hzjo,ja,[],"['https://search.rakuten.co.jp/search/mall/BAR19/?sid=258767', 'https://store.shopping.yahoo.co.jp/mundial/search.html?p=BAR19']","['https://pbs.twimg.com/media/E2Jm50xUcAAmktW.jpg', 'https://pbs.twimg.com/media/E2Jm7iXUYAAQgje.jpg', 'https://pbs.twimg.com/media/E2JnCz4VIAUwpyT.jpg', 'https://pbs.twimg.com/media/E2JnINZVEAUUC7I.jpg']",0,0,0,"['ブラジルリーグ', 'コリンチャンス', 'corinthians', 'ガヴィオンス', 'ブラジル代表', 'サッカーウェア', '南米サッカー', 'コリンチアーノ', 'フットサルウェア', 'サッカーセール', 'polo']",[],https://twitter.com/EMundial3/status/1396792233852997633,False,,1,https://pbs.twimg.com/media/E2Jm50xUcAAmktW.jpg,,,,,,,[],,,,
1396790645172342785,1396790645172342785,2021-05-24 11:30:15 UTC,2021-05-24,11:30:15,+0000,302950011,loucosdobando_,Loucos do Bando,,Caiu na rede é peixe! Na noite de ontem as minas do Timão golearam o Real Brasília; veja como foi a partida e uma analise completa do confronto.  #Corinthians #CorinthiansFeminino #VaiCorinthians   https://t.co/yFCtiKrpIj,pt,[],['https://loucosdobando.com.br/noticias/corinthians-sofre-no-comeco-mas-goleia-real-brasilia'],[],0,0,4,"['corinthians', 'corinthiansfeminino', 'vaicorinthians']",[],https://twitter.com/loucosdobando_/status/1396790645172342785,False,,0,,,,,,,,[],,,,
1396787333073100805,1396787333073100805,2021-05-24 11:17:05 UTC,2021-05-24,11:17:05,+0000,550538680,jabregomartin,Jonathan Abrego,,"Luego del pedido de algunos hinchas de #Corinthians por el técnico de #Colón, Eduardo Domínguez, el Timao anunció a Sylvinho como nuevo entrenador para suceder a Vágner Mancini. @Corinthians  https://t.co/8ISVBktvkL",es,"[{'screen_name': 'corinthians', 'name': 'corinthians', 'id': '44627459'}]",[],['https://pbs.twimg.com/media/E2Jiim5WEAALk2x.jpg'],0,0,0,"['corinthians', 'colón']",[],https://twitter.com/jabregomartin/status/1396787333073100805,False,,1,https://pbs.twimg.com/media/E2Jiim5WEAALk2x.jpg,,,,,,,[],,,,
1396786985021411328,1396786985021411328,2021-05-24 11:15:42 UTC,2021-05-24,11:15:42,+0000,437673553,novokaoz,#OMitoGenocida,,"Tudo liberado a partir de R$ 25,00 mensal. Chama no DM #Flamengo #Corinthians #gremio #Internacional #ceara #Libertadores #galo #atleticomg #brasileirao #filmes #series #tvviainternet #futebol #lutas #IPTV #santosfc #saopaulofc",pt,[],[],[],0,0,0,"['flamengo', 'corinthians', 'gremio', 'internacional', 'ceara', 'libertadores', 'galo', 'atleticomg', 'brasileirao', 'filmes', 'series', 'tvviainternet', 'futebol', 'lutas', 'iptv', 'santosfc', 'saopaulofc']",[],https://twitter.com/novokaoz/status/1396786985021411328,False,,0,,,,,,,,[],,,,
1396786860555448321,1396786860555448321,2021-05-24 11:15:13 UTC,2021-05-24,11:15:13,+0000,302950011,loucosdobando_,Loucos do Bando,,"""Agora é com você, hein... Representa o Corinthians!""  📸 Daniel Augusto Jr.  #Corinthians #VaiCorinthians  https://t.co/f2vfjevP6d",pt,[],[],['https://pbs.twimg.com/media/E2JiJoxWEAMmPxZ.jpg'],0,2,25,"['corinthians', 'vaicorinthians']",[],https://twitter.com/loucosdobando_/status/1396786860555448321,False,,1,https://pbs.twimg.com/media/E2JiJoxWEAMmPxZ.jpg,,,,,,,[],,,,
1396786365384306693,1396786365384306693,2021-05-24 11:13:15 UTC,2021-05-24,11:13:15,+0000,853589280912015361,mineirinhoabreu,Andre Abreu,,"#Corinthians Falando da contratação do Sylvinho ,vendo que melhor opção não veio ,é que temos no momento . Logico que não seria de ninguém da torcida uma opção ,mais e melhor ele hoje do que carille e companhia ltda",pt,[],[],[],0,0,0,['corinthians'],[],https://twitter.com/MineirinhoAbreu/status/1396786365384306693,False,,0,,,,,,,,[],,,,
1396784741588869121,1396784741588869121,2021-05-24 11:06:48 UTC,2021-05-24,11:06:48,+0000,574659323,photocleuri,@photocleuri FICA EM CASA 😷,,"Bem-vindo Sylvinho! Apesar de não ser certo, espero que dê certo no @Corinthians e que possamos ser felizes novamente. #Corinthians #Sylvinho #VaiCorinthians",pt,"[{'screen_name': 'corinthians', 'name': 'corinthians', 'id': '44627459'}]",[],[],1,0,1,"['corinthians', 'sylvinho', 'vaicorinthians']",[],https://twitter.com/photocleuri/status/1396784741588869121,False,,0,,,,,,,,[],,,,
1396783611202969606,1396783611202969606,2021-05-24 11:02:18 UTC,2021-05-24,11:02:18,+0000,1290441337410654208,net_promocoes,Net Ofertas,,Moletom Criativa Urbana Corinthians Time Casaco Blusa - Masculino #camisa #Corinthians #Presente #futebol #esporte #frio   https://t.co/fdCMLI6aZV,pt,[],['https://redir.lomadee.com/v2/144bef3d054'],[],0,0,0,"['camisa', 'corinthians', 'presente', 'futebol', 'esporte', 'frio']",[],https://twitter.com/net_promocoes/status/1396783611202969606,False,,0,,,,,,,,[],,,,
1396783030962999296,1396783030962999296,2021-05-24 11:00:00 UTC,2021-05-24,11:00:00,+0000,302950011,loucosdobando_,Loucos do Bando,,"Bom dia, Fiel! 🏴🏳  Uma boa semana a todos e vai Corinthians!  #Corinthians #VaiCorinthians  https://t.co/3AROS9Avrw",pt,[],[],['https://pbs.twimg.com/media/E2Hjqj1X0AQTg9A.jpg'],0,0,9,"['corinthians', 'vaicorinthians']",[],https://twitter.com/loucosdobando_/status/1396783030962999296,False,,1,https://pbs.twimg.com/media/E2Hjqj1X0AQTg9A.jpg,,,,,,,[],,,,
1396779653067575301,1396779653067575301,2021-05-24 10:46:34 UTC,2021-05-24,10:46:34,+0000,90697573,bandsports,BandSports,,"Ex-jogador do @Corinthians substitui Vagner Mancini, demitido após eliminação no @Paulistao   #Sylvinho #Corinthians #novotécnico  https://t.co/iP5vLYQt95",pt,"[{'screen_name': 'corinthians', 'name': 'corinthians', 'id': '44627459'}, {'screen_name': 'paulistao', 'name': 'paulistão sicredi 2021', 'id': '179937965'}]",['https://bandsports.band.uol.com.br/noticias/corinthians-anuncia-sylvinho-como-novo-treinador-16350758'],[],1,0,9,"['sylvinho', 'corinthians', 'novotécnico']",[],https://twitter.com/bandsports/status/1396779653067575301,False,,0,,,,,,,,[],,,,
1396779236183080963,1396779236183080963,2021-05-24 10:44:55 UTC,2021-05-24,10:44:55,+0000,1222630197092081665,_paul_was_saul_,Paul Was Saul,,2 #Corinthians 9:13 Through the evidence of this service they will glorify ##God because of your obedience to your confession in the #gospel of #Christ and the generosity of your sharing with them and with everyone.,en,[],[],[],0,1,2,"['corinthians', 'god', 'gospel', 'christ']",[],https://twitter.com/_Paul_Was_Saul_/status/1396779236183080963,False,,0,,,,,,,,[],,,,
1396777907662503937,1396777907662503937,2021-05-24 10:39:38 UTC,2021-05-24,10:39:38,+0000,1181652173660282882,etorcedores,Encontro De Torcedores,,@sylvinho_campos fechou com o @corinthians ! Boa sorte garoto!  #futebol  #futebolpaulista  #futebolbrasileiro  #corinthians  #sccp  https://t.co/Zube5mLhhP,pt,"[{'screen_name': 'corinthians', 'name': 'corinthians', 'id': '44627459'}]",[],['https://pbs.twimg.com/media/E2JaGqcWYAQyYir.jpg'],0,0,0,"['futebol', 'futebolpaulista', 'futebolbrasileiro', 'corinthians', 'sccp']",[],https://twitter.com/ETorcedores/status/1396777907662503937,False,,1,https://pbs.twimg.com/media/E2JaGqcWYAQyYir.jpg,,,,,,,[],,,,
1396776933011202051,1396776933011202051,2021-05-24 10:35:46 UTC,2021-05-24,10:35:46,+0000,1262531215053205504,seligafiel,Se Liga Fiel ⛿ (LEIA O FIXADO - SORTEIO),,"Bom Dia, Fiel!  #Corinthians  https://t.co/ojLrofrlEH",pt,[],[],['https://pbs.twimg.com/media/E2JZKAcX0AA2DNm.jpg'],0,0,25,['corinthians'],[],https://twitter.com/SeLigaFiel/status/1396776933011202051,False,,1,https://pbs.twimg.com/media/E2JZKAcX0AA2DNm.jpg,,,,,,,[],,,,
1396721102555070465,1396721102555070465,2021-05-24 06:53:55 UTC,2021-05-24,06:53:55,+0000,768507236733816834,gazzetta_foot,Gazzetta Foot,,#Sylvinho #Corinthians  📷corinthians  https://t.co/ou4DSNV2hz,pt,[],[],['https://pbs.twimg.com/media/E2ImcLJWUAI8RBc.jpg'],0,1,1,"['sylvinho', 'corinthians']",[],https://twitter.com/Gazzetta_Foot/status/1396721102555070465,False,,1,https://pbs.twimg.com/media/E2ImcLJWUAI8RBc.jpg,,,,,,,[],,,,
1396715903618781184,1396715903618781184,2021-05-24 06:33:15 UTC,2021-05-24,06:33:15,+0000,1268490719662157825,tuttocalciomer1,Tutto Calciomercato 24,,Ufficiale: Sylvinho è il nuovo allenatore del Corinthians #Sylvinho #Corinthians  https://t.co/sVIeoOMxBS,it,[],['https://tuttocalciomercato24.com/ufficiale-sylvinho-e-il-nuovo-allenatore-del-corinthians'],[],0,0,0,"['sylvinho', 'corinthians']",[],https://twitter.com/TuttoCalciomer1/status/1396715903618781184,False,,0,,,,,,,,[],,,,
1396714864953942017,1396714864953942017,2021-05-24 06:29:08 UTC,2021-05-24,06:29:08,+0000,932709659944812544,sccphistoria,𝕮𝖔𝖗𝖎𝖓𝖙𝖍𝖎𝖆𝖓𝖘 𝖊𝖒 𝕸𝖊𝖒𝖔́𝖗𝖎𝖆,,Luizinho Polegar Anos 50's Restaurada e colorizada #Corinthians  https://t.co/Dm6FLBHnZe,pt,[],[],['https://pbs.twimg.com/media/E2IgxDCWEAIMOsz.jpg'],0,1,22,['corinthians'],[],https://twitter.com/SCCPHISTORIA/status/1396714864953942017,False,,1,https://pbs.twimg.com/media/E2IgxDCWEAIMOsz.jpg,,,,,,,[],,,,
1396700871304441857,1396700871304441857,2021-05-24 05:33:31 UTC,2021-05-24,05:33:31,+0000,289359450,rahulpeters,Rahul Ronald Peters,,"क्योंकि दाम देकर मोल लिये गए हो, इसलिये अपनी देह के द्वारा परमेश्वर की महिमा करो॥  *(1 #कुरिन्थियों 6:20)*   For ye are bought with a price: therefore glorify God in your body, and in your spirit, which are God's.  *(1 #Corinthians 6:20)* #HolyBible",und,[],[],[],0,0,1,"['कुरिन्थियों', 'corinthians', 'holybible']",[],https://twitter.com/RahulPeters/status/1396700871304441857,False,,0,,,,,,,,[],,,,
1396685153938853889,1396596238380900355,2021-05-24 04:31:04 UTC,2021-05-24,04:31:04,+0000,267795663,maikonmagni,Maikon Magni,,"@MeuTimao Só nos resta torcer e apoiar, mas com esse elenco bisonho sabemos que não será fácil. Bem vindo Silvinho. #Corinthians #Sylvinho",pt,[],[],[],0,0,0,"['corinthians', 'sylvinho']",[],https://twitter.com/MaikonMagni/status/1396685153938853889,False,,0,,,,,,,,"[{'screen_name': 'MeuTimao', 'name': 'Meu Timão', 'id': '28703815'}]",,,,
1396681909095346176,1396681909095346176,2021-05-24 04:18:10 UTC,2021-05-24,04:18:10,+0000,1374567687091798019,m4g3l41,M4G3L4 ' $ 🏀🏅 🇧🇷🇳🇬🇯🇲🇮🇳🏳️‍🌈🇷🇺,,Liga no cartola ?????? Alguém ??????  #brasileirao2021 #futebol #Cartola #Corinthians #FutebolÉPraTodos,pt,[],[],[],0,0,0,"['brasileirao2021', 'futebol', 'cartola', 'corinthians', 'futebolépratodos']",[],https://twitter.com/M4G3L41/status/1396681909095346176,False,,0,,,,,,,,[],,,,
1396676907471622144,1396676907471622144,2021-05-24 03:58:18 UTC,2021-05-24,03:58:18,+0000,1270171910626779136,rbgleydison,Gleydison.rb,,Sylvinho #Corinthians,in,[],[],[],0,0,0,['corinthians'],[],https://twitter.com/RbGleydison/status/1396676907471622144,False,,0,,,,,,,,[],,,,
1396674080204537858,1396571243118317576,2021-05-24 03:47:04 UTC,2021-05-24,03:47:04,+0000,3406444570,_koya_gru_,SCCP,,"@Fefis3010 @Corinthians Sou exigente, então ele vai ter que fazer muitoooo pra me convencer u_u  #Corinthians",pt,[],[],[],0,0,1,['corinthians'],[],https://twitter.com/_koya_gru_/status/1396674080204537858,False,,0,,,,,,,,"[{'screen_name': 'Fefis3010', 'name': 'Fernando Garcia', 'id': '4822768847'}, {'screen_name': 'Corinthians', 'name': 'Corinthians', 'id': '44627459'}]",,,,
1396671956456517634,1396671956456517634,2021-05-24 03:38:37 UTC,2021-05-24,03:38:37,+0000,54600138,rodneygontijo,Rodney Gontijo,,"Coincidência, Sylvinho começou sua carreira de treinador com Vagner Mancini. #Corinthians  #MeuTimão",pt,[],[],[],0,0,0,"['corinthians', 'meutimão']",[],https://twitter.com/rodneygontijo/status/1396671956456517634,False,,0,,,,,,,,[],,,,
1396671728668061702,1396671728668061702,2021-05-24 03:37:43 UTC,2021-05-24,03:37:43,+0000,1338326491327852544,moisesmonteeiro,Moisés Monteiro,,"Sem dúvidas umas das melhores, senão a melhor opção para o @Corinthians. Veremos se ele consegue fazer esse time (mediano para fraco) jogar. Torço para que sim! #ModernoESerCorinthians #Corinthians #futebol",pt,"[{'screen_name': 'corinthians', 'name': 'corinthians', 'id': '44627459'}]",[],[],0,0,1,"['modernoesercorinthians', 'corinthians', 'futebol']",[],https://twitter.com/MoisesMonteeiro/status/1396671728668061702,False,https://twitter.com/Corinthians/status/1396571243118317576,0,,,,,,,,[],,,,
1396669133324963849,1396669133324963849,2021-05-24 03:27:24 UTC,2021-05-24,03:27:24,+0000,1393351852712923137,coringaao_,Coringão alucinado✨🦅,,"Bom Fiz esse perfil para falar do Corinthians, de uma maneira mais descontraída, e tbm óbvio dar aquela zoada nós antis, sigam aiii. SÓ PRA CAUSAR CAOS, Sylvinho pra mim foi uma boa escolha. #Corinthians  #Sylvinho  #SYLVINHONAO 60% de chance de dar certo, e oque e penso.",pt,[],[],[],0,0,4,"['corinthians', 'sylvinho', 'sylvinhonao']",[],https://twitter.com/Coringaao_/status/1396669133324963849,False,,0,,,,,,,,[],,,,
1396667101818019840,1396667101818019840,2021-05-24 03:19:20 UTC,2021-05-24,03:19:20,+0000,73517232,silvio_menezs,Silvio Menezes 😷 #StopBolsonaro #SOSBrazil,,#Futebol #PontePreta #AtléticoMineiro #AtléticoParanaense #Flamengo #Vasco #Fluminense #Botafogo #Corinthians #Palmeiras #SãoPaulo #Santos #Coritiba #Cruzeiro #Juventude #Figueirense #Vitória #Fortaleza #Internacional #Grêmio #Guarani #Goiás #Sport #Bahia #Serra #Paysandu ?,und,[],[],[],0,0,3,"['futebol', 'pontepreta', 'atléticomineiro', 'atléticoparanaense', 'flamengo', 'vasco', 'fluminense', 'botafogo', 'corinthians', 'palmeiras', 'sãopaulo', 'santos', 'coritiba', 'cruzeiro', 'juventude', 'figueirense', 'vitória', 'fortaleza', 'internacional', 'grêmio', 'guarani', 'goiás', 'sport', 'bahia', 'serra', 'paysandu']",[],https://twitter.com/Silvio_Menezs/status/1396667101818019840,False,https://twitter.com/Brasil_Here/status/1343305905828409344,0,,,,,,,,[],,,,
1396664654177480712,1396664654177480712,2021-05-24 03:09:36 UTC,2021-05-24,03:09:36,+0000,1336834490233217026,beattenorio,Beatriz Tenório,,"Após o anúncio de Sylvinho como nosso novo técnico, vim falar um pouquinho sobre ele e sua trajetória. Dá uma olhadinha, vai! 🖤  #Corinthians #SYLVINHO #VaiCorinthians  https://t.co/xMaMvPMDZW",pt,[],[],[],2,5,60,"['corinthians', 'sylvinho', 'vaicorinthians']",[],https://twitter.com/beattenorio/status/1396664654177480712,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1396663434754891777/pu/img/Ju1qojxxhGSn3spU.jpg,,,,,,,[],,,,
1396663495601659904,1396662436527316993,2021-05-24 03:05:00 UTC,2021-05-24,03:05:00,+0000,983097478244335616,viniomito,vini,,@joamlkresponsa sou do nordeste e sou #Corinthians com #Orgulho,pt,[],[],[],0,0,0,"['corinthians', 'orgulho']",[],https://twitter.com/viniomito/status/1396663495601659904,False,,0,,,,,,,,"[{'screen_name': 'joamlkresponsa', 'name': 'desgraça da silva (coração sincero)', 'id': '1275287276596146177'}]",,,,
1396659367534006273,1396659367534006273,2021-05-24 02:48:36 UTC,2021-05-24,02:48:36,+0000,1303498741907890176,daniel_sccp11,Dɑɳiɛʆ รccp,,Torcida corinthiana já invadiu o insta da filha do sylvinho  😂 Essa torcida é a melhor  #corinthians  https://t.co/eq1qqj33n5,pt,[],[],['https://pbs.twimg.com/media/E2HuSwXWQAACFxz.jpg'],0,0,2,['corinthians'],[],https://twitter.com/Daniel_SCCP11/status/1396659367534006273,False,,1,https://pbs.twimg.com/media/E2HuSwXWQAACFxz.jpg,,,,,,,[],,,,
1396657840463486976,1396657840463486976,2021-05-24 02:42:32 UTC,2021-05-24,02:42:32,+0000,1127029045248524288,nayymoura_,ℕ𝕒𝕪,,Des de 1997 tá ! @Corinthians #Corinthians  https://t.co/bvXnYg2SKj,pt,"[{'screen_name': 'corinthians', 'name': 'corinthians', 'id': '44627459'}]",[],[],0,0,0,['corinthians'],[],https://twitter.com/Nayymoura_/status/1396657840463486976,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1396655085288046597/pu/img/j8fTwpJr7rl29txm.jpg,,,,,,,[],,,,
1396657750382415873,1396657750382415873,2021-05-24 02:42:10 UTC,2021-05-24,02:42:10,+0000,988841228526551045,robode19,Robode ˢᶜᶜᵖ 🦅,,Voto De confiança! So aguardar Tirar nosso @Corinthians dessa má Fase!  #Corinthians #Sylvinho #VaiCorinthians #BemVindoDeVoltaSylvinho 🦅⚪⚫⚽  https://t.co/m1JdyfUU6Y,pt,"[{'screen_name': 'corinthians', 'name': 'corinthians', 'id': '44627459'}]",[],['https://pbs.twimg.com/media/E2Hs0muXsAI4bbU.jpg'],0,0,0,"['corinthians', 'sylvinho', 'vaicorinthians', 'bemvindodevoltasylvinho']",[],https://twitter.com/Robode19/status/1396657750382415873,False,,1,https://pbs.twimg.com/media/E2Hs0muXsAI4bbU.jpg,,,,,,,[],,,,
